MULU	1111000111000000	0xf1c0	1100000011000000
MULS	1111000111000000	0xf1c0	1100000111000000
ABCD	1111000111110000	0xf1f0	1100000100000000
EXG	1111000100111111	0xf13f	1100000100000000
AND	1111000000000000	0xf000	1100000000000000
AND	1111000000000000	0xf000	1100000001000000
AND	1111000000000000	0xf000	1100000010000000

ADDX	1111000100110000	0xf130	1101000100000000
ADDX	1111000100110000	0xf130	1101000101000000
ADDX	1111000100110000	0xf130	1101000110000000
ADDA	1111000011000000	0xf0c0	1101000011000000
ADDA	1111000011000000	0xf0c0	1101000111000000
ADD	1111000000000000	0xf000	1101000000000000
ADD	1111000000000000	0xf000	1101000001000000
ADD	1111000000000000	0xf000	1101000010000000

ADDQ	1111000100000000	0xf100	0101000000000000
ADDQ	1111000100000000	0xf100	0101000001000000
ADDQ	1111000100000000	0xf100	0101000010000000
SUBQ	1111000100000000	0xf100	0101000100000000
SUBQ	1111000100000000	0xf100	0101000101000000
SUBQ	1111000100000000	0xf100	0101000110000000
Scc	1111000011000000	0xf0c0	0101000011000000
DBcc	1111000011111000	0xf0f8	0101000011001000

EOR	1111000100000000	0xf100	1011000100000000
EOR	1111000100000000	0xf100	1011000101000000
EOR	1111000100000000	0xf100	1011000110000000
CMP	1111000100000000	0xf100	1011000000000000
CMP	1111000100000000	0xf100	1011000001000000
CMP	1111000100000000	0xf100	1011000010000000
CMPM	1111000100111000	0xf138	1011000100001000
CMPM	111000100111000	0xf138	1011000101001000
CMPM	1111000100111000	0xf138	1011000110001000
CMPA	1111000011000000	0xf0c0	1011000011000000
CMPA	1111000011000000	0xf0c0	1011000111000000

MOVEQ	1111000100000000	0xf100	0111000000000000



